English,Igala
about,àgbágbà
above,àtẹ
absolutely,ábúdúú
abundance,ùrà
abundant,bẹ̀híẹ́ẹ́
accept,gbà
accidentally,àchígílī
accommodation,ùgwùgwú
accompany,lèbọ́
according,dábálu
account,ọ̀là
accuse,gwúné
achieve,che
achievement,ùkpáhíú
across,àgwódábáà
action,ẹ́ñwu
activity,úkọ́lọ́
addition,àdumọ́
address,kà
admit,gb’ọwọ́ ábi
adult,ògijo
advice,íbe
advise,k’ọ̀là ñw’ú
advocate,ọ̀tàkáchi
affair,j’ọ́kọ
affection,ùfẹ̀dọ̀
afraid,ch’ókpò
after,ùbì
afternoon,ọ̀rọ́ka
again,gẹ̀
age,ógbó
agent,ẹ́nẹ
ago,kwúhie
agreement,àkàméjúñwá
agriculture,úchẹ́-oko
aid,àbùnẹ́
air,àfù
aircraft,ọ́kọ́ọ̀-ojáalè
all,chákáá
allow,bùñà
almost,kpọ́kpẹ́
alone,katé
along,kpàí
also,gẹ̄ẹ̄
although,íchẹ́kà
always,ìkò dúú
America,Àméríkà
American,Àméríkà
among,àgbàdé
amount,álu
analysis,chábe
ancient,ígbélé
and,kpàí
angel,ọ́mọọ̀láíka
anger,ìmélí
angry,bíéjú
animal,ẹ́la
anniversary,àdàmọ́dọ́
announce,tẹ́-ákōya
another,òmúnẹ́ẹ̀
answer,òhì
anxiety,èjíjì
anxious,kòjòkòjò
any,dúú
anyone,ẹ́nẹ dúú
anything,ẹ́ñwu dúú
appeal,bìèbi
appear,dà
appearance,éjú
apple,àlèmú
application,ùdúmiọla
apply,che
appoint,chí
appointment,ùdágō
approach,gbẹ́rẹ̀
approximately,dábú
April,Ẹ̀pìlì
arbitration,àjọ
area,ójáanẹ̀
argue,j’iñwà
argument,ẹ́rọ́là
arm,ọ́wọ́
armies,àmajogwu
arms,ẹ́la-abàgá
army,àmajogwu
around,àgbágbà
arrange,ch’alò
arrangement,álóò
arrest,mú
arrival,éwá
arrive,lìá
arrow,ọ́fá
art,ẹ́ñwu ọwọ́
article,ẹ́ñwu
articles,ẹ́ñwu ajá
as,dábálu
ask,t’énè
asked,dọ́
asking,t’énè
aspect,ọ́gọ́gọ̄
aspects,àkpẹ́rú
assemble,jẹjú
assembly,ùjẹjú
assert,k’ọ̀là jálíí
assessment,àñwàgó
assign,kpẹ́
assignment,úkọ́lọ́
assistance,àbùnẹ́
assistant,àchímọ́la
association,ùjẹjú
assume,néjú
assumption,ùbọdù
assure,jẹ́nyú
at,àdíkò
attack,n’úká
attempt,dọ́mọ
attend,wá
attention,ẹ̀dọ̀
attitude,áli
attract,ch’ejúkọ̀kà
attractive,nyọ̀
audience,àmọjà
August,Ọ̀gọ̀ọ̀stù
aunt,ọ̀mẹ́nyi
authority,èyíkwu
available,dẹ́
average,dábú
avoid,b’àfù
awarded,chí
aware,mà
away,ọ̀dọ́da
awkward,mùgọ̀mùgọ̀
back,ùbì
bad,bíẹ́nẹ
badly,bíẹ́nẹ-bíẹ́nẹ
bag,ìkpà
bail,gb’ọwọ́ onẹ̀
balance,ùchéjè
ball,íbọ́lù
ban,nábáà
band,ùkọ̀lọ́
bank,únyí ọ́kọ́
bare,òfòfo
barn,àká
base,ẹ̀tẹ̀
basis,ẹ̀tẹ̀
basin,úgbá
bat,ìdọ́
bath,gw’ọla
be,che
beach,étí-ọbá
bear,nẹ́
beast,ẹ́la
beat,gwó
beautiful,àlìfía
beauty,ùnyọ̀
because,todú
become,che
bed,àtẹ̀
bedroom,ẹ̀jẹ́efù
beef,ẹ́la okwunọ
beer,ọ́tẹ́
before,lekí
beg,bìèbi
